rank,address,lit,kind,entity,category,net_24h,net_7d,net_30d
3964,0x014d5b3b65d32bfbf44e02a2d153453ef1282b1f,20.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3965,0x8999fa509c47b7f58ed69a5a3eea9ca9659d6b7b,20.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3966,0xd9d969704b7685fcc36b8469fc1969b674500e5d,20.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3967,0x29ab2f6ac93ebf2f570fa43c82a841c21ffd5b9f,20.77105435,wallet,,,0.00000000,0.00000000,0.00000000
3968,0xbf250f258b30baca56c54f93d81b04512c7e3184,20.74471745,wallet,sushiswap,Decentralized Exchange,0.00000000,0.00000000,20.74471745
3969,0xdd6da55f502f8b6a0d6145c20fc4e420c3597ca2,20.72724249,wallet,,,0.00000000,0.00000000,0.00000000
3970,0x4c6c50ae8cad5e4b6fa834e381aca6326b77af53,20.72717101,wallet,,,0.00000000,0.00000000,20.72717101
3971,0x69f55cec08b39b9a659edd6ded2c4cbb104c5d24,20.69332495,wallet,,,0.00000000,20.69332487,20.69332122
3972,0x743a32c00042e033ba68fb72d115d7d256ac4a93,20.67442184,wallet,,,0.00000000,0.00000000,0.00000000
3973,0xb5e9129d528e96882fff9acbdb72728f382e53d4,20.66403220,wallet,,,0.00000000,20.66403220,20.66403220
3974,0xc140ed399bd1e37a049dc2e458b66cf52bc0b483,20.65920000,wallet,,,0.00000000,0.00000000,20.65920000
3975,0x29a3d44d2a389d01670218902c4ecbdcc6805fc3,20.62494783,wallet,,,0.00000000,0.00000000,0.00000000
3976,0x40ecc5110533a4c2b8d75647d7bdaf2e2cb00606,20.62011200,wallet,,,0.00000000,0.00000000,0.00000000
3977,0x90e7a832bd93581f8f1f8af241be8495c6ecc5d7,20.61513077,wallet,,,0.00000000,0.00000000,0.00000000
3978,0xcdbf8fc26a0801dd9216e9c451d70a525c93c276,20.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3979,0x5ad1f1d1c7023275d26bea07cdb3a55afcc35e1e,20.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3980,0x6a63fc0b702949a60b49056746b20818ff9c005c,20.57190103,wallet,,,0.00000000,20.57190103,20.57190103
3981,0x1817c83fff91b6ba475233361decf5a67635fa27,20.49826299,wallet,,,0.00000000,0.00000000,0.00000000
3982,0xd729e28615e33181204f1803f64787f7425640eb,20.49729117,wallet,,,0.00000000,0.00000000,20.49729117
3983,0x53df64b3ec65dd2a859e95ae0e6f1db838c1bd28,20.47522036,wallet,,,0.00000000,0.00000000,0.00000000
3984,0x5d8699ac7717a65194b1adf4f2ccaa56cd20ee61,20.46931000,wallet,,,0.00000000,0.00000000,20.46931000
3985,0x31ccd33a1e3d7a97477d75d0e8cc8ecf773ce524,20.43659943,wallet,,,0.00000000,0.00000000,20.43659904
3986,0xd03ff5da4512a8970585e3ea70c6ea15c9204ffc,20.40621360,wallet,,,0.00000000,20.40621360,20.40621360
3987,0xb909d66dcf3cd5e76d4f612790923268df66d24e,20.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3988,0xb40a5f5eb3aeee66b742dfead7f61f1e152304db,20.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3989,0x974a92654e0e22ee3cee28394dcbacd7d0a3d7ff,20.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3990,0xec58409472d2bff3ac676ee0bddc710caf51fd25,20.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3991,0x4a7f3ded0fee26ce0310ec3739a68725e9a673a2,20.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3992,0x0b829f8e6b89c7676456825bed37ba1539a5af7f,20.39766326,wallet,,,0.00000000,0.00000000,20.39766326
3993,0xc8da392fa4f37f236c8049658fe2a67788d1d047,20.39353691,wallet,,,0.00000000,0.00000000,0.00000000
3994,0x3733fa8069f7e79b89b993080ba455aaa5eb8bd9,20.35601678,wallet,,,0.00000000,0.00000000,19.20560500
3995,0x6a9b2ff009ae9fd9efdf7199f9554005c1061f93,20.35515876,wallet,,,0.00000000,0.00000000,0.00000000
3996,0x866900d35d260b18edc11196fc6b5f328f941d1f,20.34510439,wallet,,,0.00000000,0.00000000,20.34510439
3997,0xb4861724e970b8af5bce8fcdb76cd9be62037caf,20.34099148,wallet,,,0.00000000,0.00000000,0.00000000
3998,0xc02e57ce06f516702f539134dc670a7a1291185d,20.31663776,wallet,,,0.00000000,0.00000000,0.00000000
3999,0x4a49cfca21a52bfb1e62dd3b935f0f2cc233d4a1,20.26070429,wallet,,,0.00000000,0.00000000,0.00000000
4000,0xab58b50b25470c86d5657c593d5d44c443936f7a,20.25152873,wallet,,,0.00000000,0.00000000,20.25152873
4001,0x4c61713e6623ac5e97c59aa1290e27d4b27aaf24,20.20000000,wallet,,,0.00000000,0.00000000,0.00000000
4002,0xd6b3a1aac9b0d742f0322901588d0d5827968a51,20.19273709,wallet,,,0.00000000,0.00000000,0.00000000
4003,0x1bb975e36f12728bfba67dc4ab750a0d8656430e,20.18394256,wallet,,,0.00000000,0.00000000,0.00000000
4004,0x4c932b5b5a431bc42a981723c8b8dffafe1e8b62,20.17684195,wallet,,,0.00000000,0.00000000,0.00000000
4005,0x52cc48c0a6f183ab9cf0d1666785eb8afe55e876,20.11654864,contract,,,0.00000000,4.32791613,20.11654864
4006,0x2283e40a543c452752b1738f315ede03531e2807,20.10728479,wallet,,,0.00000000,0.00000000,20.10728479
4007,0x65fe4b8059d9633bf36fe31ed3dfa5b739a2171f,20.08408698,wallet,,,0.00000000,0.00000000,20.08408698
4008,0xa9d39128bc6d17b09bd8d4c26bd8b453d0f012d1,20.08263876,wallet,,,0.00000000,0.00000000,0.00000000
